Parameter,par_with_unit,key_par,Reservoir Model,Fracture Shape,Ramey Production Wellbore Model,Reservoir Volume Option,Reservoir Impedance,End-Use Option,Power Plant Type,Economic Model,Total Capital Cost,Well Drilling and Completion Capital Cost,Reservoir Stimulation Capital Cost,Surface Plant Capital Cost,Field Gathering System Capital Cost,Exploration Capital Cost,Total O&M Cost,Wellfield O&M Cost,Surface Plant O&M Cost,Water Cost,default_val
Power Plant Type,Power Plant Type,-999,-999,-999,-999,-999,-999,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Power Plant Type,Power Plant Type,-999,-999,-999,-999,-999,-999,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1
Circulation Pump Efficiency,Circulation Pump Efficiency,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.75
Utilization Factor,Utilization Factor,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
End-Use Efficiency Factor,End-Use Efficiency Factor,-999,-999,-999,-999,-999,-999,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9
CHP Fraction,CHP Fraction,-999,-999,-999,-999,-999,-999,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5
CHP Fraction,CHP Fraction,-999,-999,-999,-999,-999,-999,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5
CHP Bottoming Entering Temperature,CHP Bottoming Entering Temperature (deg.C),-999,-999,-999,-999,-999,-999,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,150
CHP Bottoming Entering Temperature,CHP Bottoming Entering Temperature (deg.C),-999,-999,-999,-999,-999,-999,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,150
Surface Temperature,Surface Temperature (deg.C),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Ambient Temperature,Ambient Temperature (deg.C),-999,-999,-999,-999,-999,-999,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
Plant Lifetime,Plant Lifetime (years),1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
Economic Model,Economic Model,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2
Fixed Charge Rate,Fixed Charge Rate,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1
Discount Rate,Discount Rate,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.07
